,eng_version,Source,Genres
1823,Heroic Age,Original,"Action, Mecha, Military, Sci-Fi, Space"
1845,Darker than Black: Kuro no Keiyakusha,Original,"Action, Sci-Fi, Mystery, Super Power"
1852,Wellber no Monogatari: Sisters of Wellber,Original,"Action, Adventure, Comedy, Drama, Fantasy, Historical"
1854,Lovely★Complex,Manga,"Comedy, Romance, Shoujo"
1963,Naruto Movie 3: Dai Koufun! Mikazuki Jima no Animaru Panikku Dattebayo!,Manga,"Action, Adventure"
2029,Shigurui,Manga,"Action, Historical, Psychological, Drama, Martial Arts, Samurai, Seinen"
2049,Toki wo Kakeru Shoujo,Novel,"Adventure, Drama, Romance, Sci-Fi"
2057,Mononoke,Original,"Mystery, Historical, Horror, Demons, Psychological, Supernatural, Fantasy, Seinen"
2061,Baccano!,Light novel,"Action, Comedy, Historical, Mystery, Supernatural"
2215,Stranger: Mukou Hadan,Original,"Action, Adventure, Historical, Samurai"
2245,Crayon Shin-chan Movie 09: Arashi wo Yobu Mouretsu! Otona Teikoku no Gyakushuu,Manga,"Comedy, Sci-Fi, Seinen"
2321,Angelique,Game,"Sci-Fi, Harem, Drama, Romance, Fantasy, Shoujo"
2368,Mobile Suit Gundam 00,Original,"Action, Military, Sci-Fi, Space, Drama, Mecha"
2656,Code Geass: Hangyaku no Lelouch R2,Original,"Action, Military, Sci-Fi, Super Power, Drama, Mecha"
2670,Shugo Chara!,Manga,"Comedy, Magic, School, Shoujo"
2807,Cencoroll,Original,"Action, Sci-Fi"
2811,xxxHOLiC Kei,Manga,"Mystery, Comedy, Psychological, Supernatural, Drama"
2894,Harukanaru Toki no Naka de 3: Kurenai no Tsuki,Visual novel,"Action, Fantasy, Military, Historical, Shoujo"
2897,Druaga no Tou: The Aegis of Uruk,Game,"Adventure, Comedy, Fantasy"
2941,Hatenkou Yuugi,Manga,"Adventure, Comedy, Drama, Romance, Fantasy, Josei"
2970,Mnemosyne: Mnemosyne no Musume-tachi,Original,"Action, Horror, Sci-Fi, Shoujo Ai, Supernatural"
3003,Kiniro no Corda: Primo Passo - Hitonatsu no Encore,Visual novel,"Harem, Music, Romance, School, Shoujo"
3013,Blassreiter,Original,"Action, Sci-Fi"
3048,Vampire Knight,Manga,"Drama, Mystery, Romance, Shoujo, Supernatural, Vampire"
3060,Special A,Manga,"Comedy, Romance, School, Shoujo"
3082,Wellber no Monogatari: Sisters of Wellber Zwei,Original,"Adventure, Fantasy, Historical, Romance"
3120,Allison to Lillia,Light novel,"Action, Adventure, Shounen"
3170,Neo Angelique Abyss,Visual novel,"Comedy, Fantasy, Harem, Romance, Shoujo"
3213,Nijuu Mensou no Musume,Manga,"Action, Adventure, Mystery"
3238,Jigoku Shoujo Mitsuganae,Original,"Mystery, Psychological, Supernatural"
3246,Itazura na Kiss,Manga,"Comedy, Romance, Shoujo"
3363,Baccano! Specials,Light novel,"Action, Comedy, Historical, Mystery, Supernatural"
3384,Mobile Suit Gundam 00 Second Season,Original,"Action, Drama, Mecha, Military, Sci-Fi, Space"
3522,Blade of the Immortal,Manga,"Action, Adventure, Historical, Supernatural, Samurai"
3524,One Piece Film: Strong World,Manga,"Action, Adventure, Comedy, Drama, Fantasy, Shounen"
3710,Hakushaku to Yousei,Light novel,"Adventure, Historical, Magic, Romance, Fantasy, Shoujo"
3727,Shikabane Hime: Aka,Manga,"Action, Horror, Supernatural, Shounen"
3793,Skip Beat!,Manga,"Comedy, Drama, Romance, Shoujo"
3795,Ga-Rei: Zero,Manga,"Action, Super Power, Supernatural, Thriller"
3796,Druaga no Tou: The Sword of Uruk,Game,"Adventure, Fantasy"
3805,Vampire Knight: Guilty,Manga,"Drama, Mystery, Romance, Shoujo, Supernatural, Vampire"
